FID,MC,CODE11,CODE01,STATE,DISTRICT,SUBDIST,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
56,9.12855305322E+017,2855305322000000,2822001900000000,Andhra Pradesh,Anantapur,Atmakur,77.274990711,14.5202967318,77.5070815537,14.6959719042
57,9.12855305337E+017,2855305337000000,2822003400000000,Andhra Pradesh,Anantapur,Bathalapalle,77.7177808603,14.3796426164,77.9319091795,14.5933842413
58,9.12855305318E+017,2855305318000000,2822001500000000,Andhra Pradesh,Anantapur,Beluguppa,77.0476302781,14.5927933894,77.3085651515,14.7556490904
59,9.12855305307E+017,2855305307000000,2822000400000000,Andhra Pradesh,Anantapur,Bommanahal,76.8867377448,14.8546030038,77.1548422144,15.0380222874
60,9.1285530532E+017,2855305320000000,2822001700000000,Andhra Pradesh,Anantapur,Brahmasamudram,76.8349080323,14.475194937,77.1120169118,14.6529126962
61,9.12855305345E+017,2855305345000000,2822004200000000,Andhra Pradesh,Anantapur,Bukkapatnam,77.7953720641,14.177350122,78.0587121215,14.3537291106
62,9.12855305329E+017,2855305329000000,2822002600000000,Andhra Pradesh,Anantapur,Bukkaraya Samudram,77.5655531136,14.6060064392,77.7935454864,14.7783223788
63,9.12855305347E+017,2855305347000000,2822004400000000,Andhra Pradesh,Anantapur,Chennekothapalle,77.4975681747,14.1715894608,77.8386843856,14.3508470292
64,9.12855305366E+017,2855305366000000,2822006300000000,Andhra Pradesh,Anantapur,Chilamathur,77.6107393702,13.740009614,77.835952965,13.9497787048
65,9.12855305304E+017,2855305304000000,2822000100000000,Andhra Pradesh,Anantapur,D.Hirehal,76.7615195191,14.7793843292,76.9625397051,15.0966861488
66,9.12855305336E+017,2855305336000000,2822003300000000,Andhra Pradesh,Anantapur,Dharmavaram,77.6168876301,14.2834177796,77.896455692,14.529849744
67,9.12855305342E+017,2855305342000000,2822003900000000,Andhra Pradesh,Anantapur,Gandlapenta,78.1956631598,14.029923826,78.3439162555,14.2049529608
68,9.12855305324E+017,2855305324000000,2822002100000000,Andhra Pradesh,Anantapur,Garladinne,77.4197193998,14.7389469599,77.6656710217,14.914717595
69,9.1285530531E+017,2855305310000000,2822000700000000,Andhra Pradesh,Anantapur,Gooty,77.5272706723,15.0138052634,77.7817779361,15.2327455704
